Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,OBC-NCL,398,363
2,Round 1,"National Institute of Technology, Warangal",Biotechnology,G1,EWS,511,511
3,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,OPEN,482,438
4,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,OPEN-PwD,258,258
5,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,SC,284,275
6,Round 1,"National Institute of Technology, Warangal",Biotechnology,G1,OPEN,641,528
7,Round 1,National Institute of Technology Uttarakhand,Power Electronics & Drives,G1,SC,300,300
8,Round 1,National Institute of Technology Uttarakhand,Power System & Control,G1,OBC-NCL,357,335
9,Round 1,National Institute of Technology Uttarakhand,Power System & Control,G1,OPEN,468,364
10,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,EWS,531,531
11,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,OPEN,678,571
12,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,OBC-NCL,432,414
13,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,EWS,406,406
14,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,SC,378,359
15,Round 1,"National Institute of Technology, Warangal",Automobile Engineering,G1,OBC-NCL,614,598
16,Round 1,National Institute of Technology Uttarakhand,Machine Design,G1,OBC-NCL,382,343
17,Round 1,National Institute of Technology Uttarakhand,Machine Design,G1,OPEN,516,424
18,Round 1,National Institute of Technology Uttarakhand,Machine Design,G1,SC,241,241
19,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,SC,347,347
20,Round 1,National Institute of Technology Uttarakhand,Transportation Engineering,G1,OBC-NCL,372,357
21,Round 1,National Institute of Technology Uttarakhand,Manufacturing Technology,G1,OPEN,401,374
22,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,OBC-NCL,475,442
23,Round 1,National Institute of Technology Uttarakhand,Transportation Engineering,G1,OPEN,465,375
24,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G2,OPEN,741,697
25,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G2,SC,466,466
26,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G2,ST,288,288
27,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,OPEN,696,571
28,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,G1,EWS,341,341
29,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,G1,OPEN,552,482
30,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,G1,SC,297,297
31,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,SC,367,303
32,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,G2,OBC-NCL,589,582
33,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,G2,EWS,571,550
34,Round 1,National Institute of Technology Uttarakhand,Communication Systems,G1,OPEN,400,387
35,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,G2,ST,245,245
36,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,OBC-NCL,714,679
37,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,EWS,727,719
38,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,OPEN,780,749
39,Round 1,National Institute of Technology Uttarakhand,Geotechnical Engineering,G1,OBC-NCL,359,359
40,Round 1,National Institute of Technology Uttarakhand,Geotechnical Engineering,G1,EWS,356,356
41,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,OBC-NCL-PwD,271,271
42,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,EWS,685,679
43,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,SC,574,508
44,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,SC,588,504
45,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,ST,500,371
46,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G2,OBC-NCL,775,739
47,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,ST,385,385
48,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,OBC-NCL,608,582
49,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,EWS,578,555
50,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,OPEN,678,632
51,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,SC,479,448
52,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G2,OPEN,818,775
53,Round 1,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,G1,OBC-NCL,673,649
54,Round 1,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,G1,EWS,673,646
55,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G2,SC,621,600
56,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,G1,OBC-NCL,628,614
57,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,G1,EWS,607,593
58,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,G1,OPEN,682,643
59,Round 1,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,G1,SC,496,474
60,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,G1,ST,350,335
61,Round 1,"National Institute of Technology, Tiruchirappalli",Structural Engineering,G1,OBC-NCL,658,638
62,Round 1,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,G1,ST,339,314
63,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,G2,OBC-NCL,559,499
64,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,G2,OPEN,636,597
65,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,G2,OPEN-PwD,235,235
66,Round 1,"National Institute of Technology, Tiruchirappalli",Structural Engineering,G1,OPEN,771,678
67,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,G3,EWS,621,621
68,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,G3,OPEN,671,669
69,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,G3,SC,460,460
70,Round 1,"National Institute of Technology, Tiruchirappalli",Power Electronics,G1,OBC-NCL,679,646
71,Round 1,"National Institute of Technology, Tiruchirappalli",Structural Engineering,G1,OPEN-PwD,276,276
72,Round 1,"National Institute of Technology, Tiruchirappalli",Structural Engineering,G1,SC,535,493
73,Round 1,"National Institute of Technology, Tiruchirappalli",Material Science & Engineering,G3,EWS,414,414
74,Round 1,"National Institute of Technology, Tiruchirappalli",Material Science & Engineering,G3,OPEN,542,462
75,Round 1,"National Institute of Technology, Tiruchirappalli",Material Science & Engineering,G3,SC,207,207
76,Round 1,"National Institute of Technology, Tiruchirappalli",Non Destructive Testing,G1,OBC-NCL,598,571
77,Round 1,"National Institute of Technology, Tiruchirappalli",Communication Systems,G1,OBC-NCL,617,587
78,Round 1,"National Institute of Technology, Srinagar",Transportation Engineering & Planning,G1,SC,289,277
79,Round 1,"National Institute of Technology, Srinagar",Transportation Engineering & Planning,G1,ST,376,376
80,Round 1,"National Institute of Technology, Srinagar",Water Resources Engineering,G1,OBC-NCL,356,329
81,Round 1,"National Institute of Technology, Tiruchirappalli",Communication Systems,G1,EWS,625,576
82,Round 1,"National Institute of Technology, Tiruchirappalli",Communication Systems,G1,OPEN,671,625
83,Round 1,"National Institute of Technology, Srinagar",Communication & Signal Processing,G2,OPEN,403,354
84,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,G1,OBC-NCL,468,356
85,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,G1,EWS,319,319
86,Round 1,"National Institute of Technology, Srinagar",Water Resources Engineering,G1,OPEN,476,419
87,Round 1,"National Institute of Technology, Srinagar",Water Resources Engineering,G1,SC,267,260
88,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,G1,OPEN-PwD,437,437
89,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,G1,SC,359,299
90,Round 1,"National Institute of Technology, Srinagar",Water Resources Engineering,G1,ST,309,309
91,Round 1,"National Institute of Technology, Srinagar",Mechanical System Design,G1,ST,251,251
92,Round 1,"National Institute of Technology, Srinagar",Power Electronics & Electrical Drives,G1,OBC-NCL,350,316
93,Round 1,"National Institute of Technology, Srinagar",Thermal Engineering,G1,OBC-NCL,318,318
94,Round 1,"National Institute of Technology, Srinagar",Thermal Engineering,G1,OPEN,530,351
95,Round 1,"National Institute of Technology, Srinagar",Power Electronics & Electrical Drives,G1,ST,264,260
96,Round 1,"National Institute of Technology, Srinagar",Microelectronics,G1,OBC-NCL,392,362
97,Round 1,"National Institute of Technology, Srinagar",Microelectronics,G1,EWS,404,404
98,Round 1,"National Institute of Technology, Srinagar",Geo-technical Engineering,G1,OBC-NCL,342,326
99,Round 1,"National Institute of Technology, Silchar",Water Resources Engineering,G1,OPEN,396,352
100,Round 1,"National Institute of Technology, Silchar",Water Resources Engineering,G1,SC,269,256
101,Round 1,"National Institute of Technology, Silchar",Water Resources Engineering,G1,ST,263,257
102,Round 1,"National Institute of Technology, Silchar",Computer Science & Engineering,G1,OBC-NCL,455,411
103,Round 1,"National Institute of Technology, Srinagar",Microelectronics,G1,ST,250,250
104,Round 1,"National Institute of Technology, Silchar",Computer Science & Engineering,G1,SC,315,284
105,Round 1,"National Institute of Technology, Silchar",Computer Science & Engineering,G1,ST,406,262
106,Round 1,"National Institute of Technology, Srinagar",Chemical Engineering,G1,OBC-NCL,314,314
107,Round 1,"National Institute of Technology, Srinagar",Chemical Engineering,G1,OPEN,445,445
108,Round 1,"National Institute of Technology, Srinagar",Communication & Signal Processing,G1,OBC-NCL,333,321
109,Round 1,"National Institute of Technology, Srinagar",Communication & Signal Processing,G1,OPEN,533,375
110,Round 1,"National Institute of Technology, Silchar",Structural Engineering,G1,SC,396,298
111,Round 1,"National Institute of Technology, Silchar",Structural Engineering,G1,ST,330,330
112,Round 1,"National Institute of Technology, Srinagar",Electrical Power and Energy System,G1,SC,285,253
113,Round 1,"National Institute of Technology, Silchar",Transportation Engineering,G1,OPEN,420,379
114,Round 1,"National Institute of Technology, Silchar",Transportation Engineering,G1,SC,309,281
115,Round 1,"National Institute of Technology, Silchar",Transportation Engineering,G1,ST,286,276
116,Round 1,"National Institute of Technology, Srinagar",Electrical Power and Energy System,G1,ST,292,292
117,Round 1,"National Institute of Technology, Srinagar",Industrial Tribology & Maintenance Management,G1,OPEN,402,402
118,Round 1,"National Institute of Technology, Silchar",Renewable Energy,G1,OBC-NCL,350,350
119,Round 1,"National Institute of Technology, Silchar",Renewable Energy,G1,OPEN,403,369
120,Round 1,"National Institute of Technology, Silchar",Renewable Energy,G1,SC,253,249
121,Round 1,"National Institute of Technology, Silchar",Thermal Engineering,G1,EWS,323,323
122,Round 1,"National Institute of Technology, Silchar",Thermal Engineering,G1,OPEN,506,377
123,Round 1,"National Institute of Technology, Silchar",Structural Dynamics & Earthquake Engineering,G1,SC,257,256
124,Round 1,"National Institute of Technology, Silchar",Structural Dynamics & Earthquake Engineering,G1,ST,256,256
125,Round 1,"National Institute of Technology, Silchar",Thermal Engineering,G1,SC,247,240
126,Round 1,"National Institute of Technology, Silchar",Thermal Engineering,G1,ST,252,252
127,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,G1,OBC-NCL,328,325
128,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,G1,OPEN,396,379
129,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,G1,SC,296,257
130,Round 1,"National Institute of Technology, Silchar",Communication & Signal Processing,G1,OPEN,433,393
131,Round 1,"National Institute of Technology, Silchar",Communication & Signal Processing,G1,SC,288,250
132,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,G1,OPEN,508,467
133,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,G1,SC,333,292
134,Round 1,"National Institute of Technology, Silchar",Material & Manufacturing Technology,G1,OBC-NCL,326,322
135,Round 1,"National Institute of Technology, Silchar",Structural Engineering,G1,OBC-NCL,416,396
136,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,G1,OBC-NCL,335,327
137,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,G1,EWS,331,331
138,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,G1,OPEN,469,398
139,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,G1,OBC-NCL,346,335
140,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,G1,EWS,323,323
141,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,G1,OPEN,545,398
142,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,G1,SC,252,252
143,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,G1,OBC-NCL,376,350
144,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,G1,OPEN,422,366
145,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,G1,SC,264,243
146,Round 1,"National Institute of Technology, Rourkela",Computer Science,G1,SC,428,411
147,Round 1,"National Institute of Technology, Rourkela",Computer Science,G1,ST,332,332
148,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,G1,OBC-NCL,433,411
149,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,G1,OPEN,462,382
150,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,G1,OPEN,508,477
151,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,G1,SC,280,275
152,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,G1,SC,337,283
153,Round 1,"National Institute of Technology, Rourkela",Geo-technical Engineering,G1,OPEN,514,489
154,Round 1,"National Institute of Technology, Rourkela",Geo-technical Engineering,G1,SC,366,339
155,Round 1,"National Institute of Technology, Rourkela",Geo-technical Engineering,G1,ST,352,277
156,Round 1,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,G1,OBC-NCL,675,649
157,Round 1,"National Institute of Technology, Silchar",Control & Industrial Automation,G1,OPEN,471,357
158,Round 1,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,G1,OPEN,718,689
159,Round 1,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,G1,SC,514,471
160,Round 1,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,G1,ST,402,382
161,Round 1,"National Institute of Technology, Rourkela",Water Resources Engineering,G1,OBC-NCL,435,409
162,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,G3,SC,240,240
163,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,G4,OBC-NCL,323,323
164,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,G1,EWS,413,413
165,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,G1,OPEN,520,419
166,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,G1,EWS,417,417
167,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,G1,OPEN,515,462
168,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,G1,SC,364,364
169,Round 1,"National Institute of Technology, Andhra Pradesh",Manufacturing Engineering,G1,OBC-NCL,326,324
170,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Water Resource Engineering,G1,SC,291,276
171,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Water Resource Engineering,G1,ST,263,250
172,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,G1,ST,254,254
173,Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,G1,OBC-NCL,398,392
174,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,G1,EWS,554,552
175,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,G1,OPEN,651,583
176,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,G1,SC,477,394
177,Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,G1,EWS,421,421
178,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G2,OBC-NCL,436,381
179,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G2,EWS,345,345
180,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G2,OPEN,484,478
181,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,G1,OBC-NCL,362,333
182,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,G1,OBC-NCL,546,508
183,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,G1,EWS,525,521
184,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,G1,OPEN,420,391
185,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,G1,OPEN,587,542
186,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,G1,SC,382,356
187,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,G1,ST,277,274
188,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,G1,SC,421,354
189,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,G1,EWS,452,409
190,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,G1,OPEN,570,472
191,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,G1,SC,379,333
192,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,G1,ST,293,293
193,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,G1,ST,358,354
194,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Water Resource Engineering,G1,OBC-NCL,400,389
195,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,G1,OPEN,568,514
196,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,G1,SC,328,282
197,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,G1,ST,243,243
198,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Process Metallurgy,G1,OBC-NCL,333,333
199,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G1,EWS,382,382
200,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G1,OPEN,593,508
201,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,G1,OBC-NCL,413,399
202,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,G1,EWS,406,352
203,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G1,SC,298,283
204,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,G1,OPEN,565,484
205,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,G1,SC,348,308
206,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,G1,SC,322,288
207,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,G1,EWS,410,389
208,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,G1,OPEN,557,446
209,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,G1,SC,325,279
210,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,G1,OBC-NCL,535,509
211,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Excavation Engineering,G1,SC,269,258
212,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,G1,OBC-NCL,442,423
213,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Materials Engineering,G1,OPEN,434,366
214,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,G1,OPEN,479,443
215,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,G1,SC,319,298
216,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,G1,ST,266,266
217,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Materials Engineering,G1,SC,224,224
218,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,G1,OBC-NCL,507,475
219,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,G1,EWS,449,444
220,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,G1,OPEN,623,490
221,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,G1,SC,340,332
222,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,G1,EWS,402,394
223,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,G1,OPEN,549,450
224,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,G1,OBC-NCL,432,419
225,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,G1,EWS,389,382
226,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,G1,SC,315,268
227,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,G1,OBC-NCL,484,398
228,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,G1,OPEN,615,561
229,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,G1,SC,416,362
230,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,G1,ST,280,258
231,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,G1,SC,403,339
232,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,G1,EWS,499,438
233,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,G1,OPEN,546,503
234,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,G1,SC,341,323
235,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Chemical Engineering,G1,OBC-NCL,329,314
236,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,G1,ST,260,260
237,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,G1,ST,257,256
238,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,G1,OBC-NCL,537,512
239,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,G1,EWS,531,529
240,Round 1,National Institute of Technology Mizoram,Microelectronics & VLSI Design,G1,SC,275,250
241,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,G1,OBC-NCL,324,324
242,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,G1,SC,250,250
243,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,G2,SC,296,296
244,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,G3,OBC-NCL,428,408
245,Round 1,National Institute of Technology Mizoram,Thermal Engineering,G1,OPEN,368,368
246,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,G1,OBC-NCL,363,363
247,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,G3,OPEN,499,499
248,Round 1,"National Institute of Technology, Manipur",Power System and Control System,G1,OPEN,410,410
249,Round 1,"National Institute of Technology, Manipur",Structural Engineering,G1,OBC-NCL,366,359
250,Round 1,"National Institute of Technology, Manipur",Structural Engineering,G1,OPEN,500,386
251,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,G1,SC,245,245
252,Round 1,"National Institute of Technology, Manipur",Thermal & Fluids Engineering,G1,OPEN,559,404
253,Round 1,"National Institute of Technology, Manipur",Thermal & Fluids Engineering,G1,SC,279,279
254,Round 1,"National Institute of Technology, Manipur",Computer Science & Engineering,G1,OBC-NCL,354,319
255,Round 1,"National Institute of Technology, Manipur",Computer Science & Engineering,G1,OPEN,433,376
256,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,G1,OBC-NCL,409,389
257,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,G1,EWS,434,427
258,Round 1,"National Institute of Technology, Kurukshetra",Water Resources Engineering,G2,OPEN,437,437
259,Round 1,"National Institute of Technology, Kurukshetra",Water Resources Engineering,G2,SC,252,252
260,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering,G1,OBC-NCL,539,517
261,Round 1,National Institute of Technology Mizoram,Microelectronics & VLSI Design,G1,OBC-NCL,373,332
262,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering,G1,OPEN,604,552
263,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering,G1,SC,356,352
264,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering,G1,ST,271,271
265,Round 1,"National Institute of Technology, Manipur",Electronics and Communication Engineering,G1,OBC-NCL,342,342
266,Round 1,National Institute of Technology Mizoram,Microelectronics & VLSI Design,G1,EWS,389,345
267,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,G1,OPEN,555,517
268,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,G1,SC,354,342
269,Round 1,"National Institute of Technology, Kurukshetra",VLSI Design,G1,OBC-NCL,558,537
270,Round 1,"National Institute of Technology, Manipur",Electronics and Communication Engineering,G1,ST,283,283
271,Round 1,"National Institute of Technology, Manipur",Environmental and Water Resources Engineering,G1,OBC-NCL,344,326
272,Round 1,"National Institute of Technology, Kurukshetra",VLSI Design,G1,OPEN,671,566
273,Round 1,"National Institute of Technology, Kurukshetra",VLSI Design,G1,SC,404,387
274,Round 1,"National Institute of Technology, Kurukshetra",VLSI Design,G1,ST,350,254
275,Round 1,"National Institute of Technology, Manipur",Environmental and Water Resources Engineering,G1,OPEN,379,361
276,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,G1,SC,372,339
277,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,G1,ST,344,271
278,Round 1,"National Institute of Technology, Kurukshetra",Water Resources Engineering,G1,EWS,366,346
279,Round 1,"National Institute of Technology, Kurukshetra",Water Resources Engineering,G1,OPEN,416,382
280,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,G1,EWS,426,380
281,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,G1,OPEN,574,463
282,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,G1,SC,361,268
283,Round 1,"National Institute of Technology, Kurukshetra",Water Resources Engineering,G1,SC,319,316
284,Round 1,"National Institute of Technology, Kurukshetra",Renewable Energy Systems,G3,OBC-NCL,357,357
285,Round 1,"National Institute of Technology, Kurukshetra",Renewable Energy Systems,G3,OPEN,382,369
286,Round 1,"National Institute of Technology, Kurukshetra",Power System,G1,OPEN,482,432
287,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,G1,OBC-NCL,502,462
288,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,G1,EWS,483,481
289,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,G1,OPEN,594,504
290,Round 1,"National Institute of Technology, Kurukshetra",Power System,G1,SC,364,285
291,Round 1,"National Institute of Technology, Kurukshetra",Power System,G1,ST,375,375
292,Round 1,"National Institute of Technology, Kurukshetra",Machine Design,G1,OBC-NCL,476,438
293,Round 1,"National Institute of Technology, Kurukshetra",Machine Design,G1,EWS,465,429
