Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
7724,Special Round 1,National Institute of Technology Calicut,Electronics Design & Technology,Group 1,SC,367,342
7725,Special Round 1,"National Institute of Technology, Warangal",Engineering Structures,Group 1,OBC-NCL,515,494
7726,Special Round 1,"National Institute of Technology, Warangal",Engineering Structures,Group 1,EWS,542,490
7727,Special Round 1,"National Institute of Technology, Warangal",Engineering Structures,Group 1,OPEN,582,545
7728,Special Round 1,"National Institute of Technology, Warangal",Engineering Structures,Group 1,SC,368,356
7729,Special Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,Group 1,OBC-NCL,391,330
7730,Special Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,Group 1,EWS,434,434
7731,Special Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,Group 1,OPEN,548,434
7732,Special Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,Group 1,SC,293,289
7733,Special Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,Group 1,ST,264,264
7734,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Environmental Engineering,Group 1,OBC-NCL,330,322
7735,Special Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Environmental Engineering,Group 1,OBC-NCL,339,339
7736,Special Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Environmental Engineering,Group 1,ST,245,245
7737,Special Round 1,"Punjab Engineering College, Chandigarh",Environmental Engineering,Group 1,OPEN,357,357
7738,Special Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Environmental Engineering,Group 1,OBC-NCL,332,318
7739,Special Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Environmental Engineering,Group 1,OPEN,389,352
